baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,293700,2508,1,2022,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,315050,2265,1,2022,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,323650,2265,1,2022,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,315050,2265,1,2022,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,284500,2320,1,2022,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,303900,2320,1,2022,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,289900,2320,1,2022,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,291500,2169,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,327000,2265,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,317000,2557,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,318900,2320,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,340400,2508,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,335100,2265,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,322700,2265,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,328075,2169,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,99316,363575,2508,1,2024,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,304950,1930,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,341200,2557,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,301150,1930,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,324100,2265,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,321300,2320,1,2023,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,313900,2320,1,2022,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,342400,2508,1,2024,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,10890,338625,2300,1,2024,39503
2,4,Gulfport,North Swan Estates - N. Gulfport,10890,298700,2169,1,2023,39503
3,4,Gulfport,North Swan Estates - N. Gulfport,11761,342375,2508,1,2024,39503
,,Gulfport,Metes And Bounds,235224,20000,,,,39503
,,Gulfport,Metes And Bounds,156816,40000,,,,39503
,,Gulfport,Metes And Bounds,1742400,90000,,,,39503
2.5,3,Gulfport,Forest North,6098,100000,1331,2,2005,39503
2,2,Gulfport,Bel-Aire,,152000,2000,1,1967,39503
2,3,Gulfport,Bel-Aire,10890,224500,1744,1,1966,39503
2,3,Gulfport,Bel-Aire,20908,95000,2016,1,1968,39503
2,3,Gulfport,Gregory Part II,13503,170000,1280,1,1965,39503
1.5,3,Gulfport,Bel-Aire,,90000,1107,1,1971,39503
2,3,Gulfport,Gulfport,,,,1,1972,39503
2,3,Gulfport,Williamsburg,5662,175000,1324,1,1996,39503
2,3,Gulfport,Williamsburg,5227,145995,1271,1,1999,39503
2,3,Gulfport,Williamsburg,4791,175000,1303,1,1998,39503
2,3,Gulfport,Forest North,4356,142500,1227,1,2005,39503
2.5,4,Gulfport,Forest North,3920,154900,1801,2,2006,39503
2,3,Gulfport,English Manor,,159000,1544,1,2007,39503
2,4,Gulfport,Landon Place,9583,230000,2256,1,2002,39503
2.5,5,Gulfport,Anastasia Place,,269900,2075,2,1999,39503
2,3,Gulfport,Bel-Aire,,174900,1840,1,1967,39503
2,4,Gulfport,Bel-Aire,,79800,1600,,1969,39503
2,4,Gulfport,Bel-Aire,13068,195000,2418,1,1969,39503
2.5,4,Gulfport,Forest North,204906240,167900,1682,,2006,39503
2,4,Gulfport,Bel-Aire,10890,159900,1900,,1968,39503
3,3,Gulfport,Floral Estates,9583,155000,3303,1.5,1984,39501
2,4,Gulfport,English Manor,15681,279900,2056,1,2008,39503
2.5,3,Gulfport,Metes And Bounds,11761,215000,1772,2,2000,39503
2,3,Gulfport,English Manor,,168900,1775,1,2007,39503
1,3,Gulfport,Metes And Bounds,7405,117000,1152,1,1972,39503
2,3,Gulfport,Anastasia Place,,139900,1348,1,2004,39503
2,4,Gulfport,Anastasia Place,8276,229500,1668,1,2003,39503
2.5,4,Gulfport,Landon Place,,175000,2416,2,2005,39503
2,4,Gulfport,Landon Place,9583,230000,2364,1,2005,39503
2,3,Gulfport,Bel-Aire,,139900,1648,1,1967,39503
2,4,Gulfport,Bel-Aire,,130000,1585,,1969,39503
1.5,3,Gulfport,Gregory Part II,13503,137000,1297,1,1970,39503
4,3,Gulfport,Anastasia Place,,205900,1851,1,2004,39503
2,3,Gulfport,Anastasia Place,10018,204900,1635,1,1999,39503
1.5,3,Gulfport,Bel-Aire,7405,69900,1007,1,1971,39503
1.5,3,Gulfport,Metes And Bounds,6969,152500,1362,1,1970,39503
2,3,Gulfport,Williamsburg,5662,195000,1354,1,1996,39503
2,3,Gulfport,Forest North,,89500,1213,1,2006,39503
2,3,Gulfport,Forest North,4791,124900,1150,1,2006,39503
2.5,3,Gulfport,Anastasia Place,12632,235000,1730,2,2000,39503
2,3,Gulfport,English Manor,7405,199500,1601,1,2008,39503
2,3,Gulfport,Bel-Aire,,130000,1350,1,1970,39503
2,3,Gulfport,Anastasia Place,8276,209900,1585,1,2002,39503
2,3,Gulfport,Anastasia Place,8276,236000,1452,1,2002,39503
2,3,Gulfport,Bel-Aire,13068,149900,1236,1,1967,39503
2.5,4,Gulfport,Landon Place,7840,165000,2416,2,2005,39503
2,3,Gulfport,Metes And Bounds,,129000,1810,1,1967,39503
1.5,3,Gulfport,Bel-Aire,8276,139000,1250,1,1970,39503
2,3,Gulfport,Williamsburg,,110000,1220,,1996,39503
2,3,Gulfport,Forest North,,129000,1167,1,2006,39503
2,3,Gulfport,Floral Estates,16552,50000,1512,1,1999,39501
2,4,Gulfport,English Manor,6969,239900,2004,1,2008,39503
1.5,3,Gulfport,Bel-Aire,6969,110000,1014,1,1971,39503
2.5,3,Gulfport,Metes And Bounds,130680,249900,2211,1,2002,39503
2,3,Gulfport,Anastasia Place,18295,236000,1754,1,2001,39503
2,3,Gulfport,Landon Place,,148500,1572,1,2001,39503
2,3,Gulfport,English Manor,,189900,1508,1,2007,39503
8,8,Gulfport,North Gulfport,9583,270000,3128,1,1980,39501
2,3,Gulfport,Bel-Aire,561183480,149700,1476,1,1969,39503
2,3,Gulfport,English Manor,4356,165204,1560,1,2008,39503
2.5,4,Gulfport,Chapelwood,,272900,2306,1,2017,39503
2,3,Gulfport,Forest North,,125000,1178,1,2005,39503
2,4,Gulfport,Bel-Aire,,69000,1278,1,1969,39503
2,3,Gulfport,Gregory Part II,13068,194900,1650,1,1969,39503
2,3,Gulfport,Bel-Aire,7405,149900,1318,1,1967,39503
3,4,Gulfport,Bel-Aire,,159900,2170,1,1966,39503
2,3,Gulfport,Gregory Part II,,79000,1820,1,1968,39503
2,3,Gulfport,Metes And Bounds,47916,120000,2246,2,1947,39503
2,3,Gulfport,Landon Place,6534,199000,1612,1,2004,39503
2,3,Gulfport,English Manor,,162900,1550,1,2007,39503
2.5,4,Gulfport,Landon Place,7840,225000,2227,2,2006,39503
2,3,Gulfport,Williamsburg,,138000,1343,,1996,39503
2,3,Gulfport,Williamsburg,,149500,1486,1,2017,39503
1.5,3,Gulfport,Bel-Aire,7405,135000,1360,1,1971,39503
2,3,Gulfport,Williamsburg,4791,235000,1500,1,1999,39503
1,2,Gulfport,Metes And Bounds,5227,65667,1038,1,1930,39503
2,3,Gulfport,Forest North,,92500,1219,,2005,39503
2,3,Gulfport,Anastasia Place,10890,159900,1342,1,2003,39503
2,3,Gulfport,Landon Grove,13068,134500,1226,,1961,39503
2,4,Gulfport,Landon Place,7405,154800,1822,1,2002,39503
2,3,Gulfport,English Manor,,148900,1406,1,2007,39503
2,3,Gulfport,Bel-Aire,8276,160000,1411,1,1972,39503
2,3,Gulfport,Bel-Aire,,102000,1005,1,1971,39503
2.5,3,Gulfport,Forest North,,105000,1801,2,2006,39503
2,3,Gulfport,Landon Grove,13068,135000,1653,1,1968,39503
2,3,Gulfport,Bel-Aire,,167400,1820,1,1969,39503
2,3,Gulfport,Bel-Aire,7405,107500,1360,1,1971,39503
2.5,3,Gulfport,English Manor,,189000,1859,2,2007,39503
2,3,Gulfport,English Manor,6969,195500,1448,1,2008,39503
2,3,Gulfport,Bel-Aire,9583,107000,1300,,1970,39503
2,3,Gulfport,Bel-Aire,10018,140000,2010,1,1970,39503
1.5,3,Gulfport,Bel-Aire,,94900,1071,1,1971,39503
2,3,Gulfport,Bel-Aire,15681,150100,1985,,1993,39503
2,3,Gulfport,North Gulfport,8276,159900,1300,1,2022,39501
2,3,Gulfport,English Manor,,147900,1255,1,2008,39503
2,3,Gulfport,Williamsburg,,139900,1384,1,2001,39503
2,2,Gulfport,Forest North,3920,149000,1065,1,2007,39503
2,3,Gulfport,Forest North,3920,150000,1244,1,2006,39503
2,3,Gulfport,Bel-Aire,8276,138500,1298,1,1972,39503
2,3,Gulfport,Gregory Part II,8712,159900,1200,1,2021,39503
2,3,Gulfport,Metes And Bounds,10018,135000,1212,1,2004,39503
1,3,Gulfport,Metes And Bounds,98445,139900,1280,1,1950,39503
1,3,Gulfport,Forest North,6969,140000,931,1,2004,39503
2,3,Gulfport,Forest North,,125000,1164,1,2006,39503
2,3,Gulfport,Bel-Aire,10454,190000,2000,1,1970,39503
2,3,Gulfport,English Manor,,206500,1472,1,2007,39503
2.5,4,Gulfport,Bel-Aire,,125000,1370,,1971,39503
2,3,Gulfport,Metes And Bounds,10890,140000,1249,1,2004,39503
1.5,2,Gulfport,Angela Park,,64000,1008,2,2007,39503
2.5,3,Gulfport,North Gulfport,6534,53000,1536,1,1949,39501
2,3,Gulfport,English Manor,,165000,1711,1,2008,39503
2.5,3,Gulfport,English Manor,6098,219000,1773,2,2007,39503
2,3,Gulfport,Williamsburg,,127500,1224,1,1995,39503
2.5,3,Gulfport,Williamsburg,4356,185000,1481,2,1998,39503
2,3,Gulfport,Metes And Bounds,4364929800,149000,1604,1,1965,39503
1,3,Gulfport,Forest Heights,,65000,1000,1,1969,39501
2,3,Gulfport,Forest North,4399,139000,1312,1,2005,39503
3,3,Gulfport,Metes And Bounds,17424,196000,1791,1,1965,39503
2,3,Gulfport,Angela Park,6969,59900,1280,1,2007,39503
1.5,2,Gulfport,Angela Park,1742,55000,926,2,2007,39503
2,3,Gulfport,Bel-Aire,9583,159900,1170,1,1970,39503
2,4,Gulfport,Bel Air,9583,149900,1350,1,1972,39503
2,3,Gulfport,English Manor,7405,198500,1516,1,2007,39503
2.5,3,Gulfport,Forest North,6534,148000,1336,2,2004,39503
2,3,Gulfport,Landon Grove,30491,149000,1556,1,1957,39503
2.5,4,Gulfport,English Manor,6534,230000,1793,2,2007,39503
1.5,3,Gulfport,Bel-Aire,7840,90000,1014,1,1972,39503
2,3,Gulfport,Bel Air,7405,64900,1134,1,1971,39503
2,3,Gulfport,Forest North,21780,129900,1209,1,2005,39503
2,3,Gulfport,Forest North,,95000,1142,1,2006,39503
2,3,Gulfport,Forest North,,128000,1203,1,2006,39503
2.5,3,Gulfport,Roundhill,,195200,1648,2,2019,39503
2.5,4,Gulfport,Chapelwood,,257700,2306,1,2019,39503
3,4,Gulfport,Chapelwood,19602,389900,3014,1,2017,39503
3,5,Gulfport,Chapelwood,,257500,2512,1,2015,39503
2,3,Gulfport,Chapelwood,10890,309000,2054,1,2015,39503
2.5,4,Gulfport,Chapelwood,,260850,2306,1,2017,39503
3,4,Gulfport,Chapelwood,,322500,2997,1,2019,39503
3,5,Gulfport,Chapelwood,10454,305000,2409,1,2017,39503
2,3,Gulfport,Chapelwood,10890,278000,2246,1,2017,39503
2,3,Gulfport,Chapelwood,12632,269900,1802,1,2017,39503
2.5,4,Gulfport,Metes And Bounds,146797,165000,1765,2,2007,39503
2,4,Gulfport,Roundhill,,213900,1820,1,2015,39503
2,3,Gulfport,Roundhill,8712,239000,1615,1,2015,39503
2,3,Gulfport,Roundhill,8276,269900,1574,1,2012,39503
2,3,Gulfport,Roundhill,,182000,1756,1,2012,39503
2,3,Gulfport,English Manor,6098,216900,1553,1,2009,39503
2.5,4,Gulfport,Chapelwood,,260000,2306,1,2018,39503
3.5,4,Gulfport,Chapelwood,13503,379000,2495,1,2018,39503
3,4,Gulfport,Chapelwood,,258800,2460,1,2019,39503
3,4,Gulfport,Chapelwood,11761,315000,2460,1,2017,39503
3,5,Gulfport,Chapelwood,10890,399900,3086,1,2018,39503
3,5,Gulfport,Chapelwood,13068,375000,3076,1,2018,39503
3,5,Gulfport,Chapelwood,,258700,2409,,2019,39503
3,4,Gulfport,Chapelwood,,260000,2460,1,2018,39503
3,4,Gulfport,Chapelwood,10890,324900,2460,1,2018,39503
3,5,Gulfport,Chapelwood,22651,319000,2409,1,2019,39503
2,3,Gulfport,Roundhill,8276,246000,1668,1,2018,39503
2,3,Gulfport,Roundhill,,249000,1525,1,2019,39503
2,3,Gulfport,Metes And Bounds,108900,280000,2209,1,1984,39503
2,3,Gulfport,Roundhill,6969,205000,1425,1,2020,39503
2,3,Gulfport,Roundhill,7840,198500,1425,1,2018,39503
2,4,Gulfport,Roundhill,,183900,1635,1,2019,39503
2,4,Gulfport,Roundhill,,189075,1635,1,2019,39503
2,3,Gulfport,Roundhill,,170800,1348,,2019,39503
2,3,Gulfport,Roundhill,,167800,1348,1,2019,39503
2,4,Gulfport,Roundhill,6534,229000,1693,1,2019,39503
2.5,3,Gulfport,Roundhill,,184900,1648,2,2019,39503
2,3,Gulfport,Roundhill,,173300,1425,1,2019,39503
2,4,Gulfport,Roundhill,,236900,1957,2,2020,39503
2.5,3,Gulfport,Landon Green,,304900,2624,2,2019,39503
2,3,Gulfport,Landon Green,,294900,1660,1,2019,39503
2,3,Gulfport,Landon Green,6969,339000,1746,1,2020,39503
2,3,Gulfport,Landon Green,,239900,1660,1,2019,39503
2,3,Gulfport,Landon Green,12196,425000,2272,2,2019,39503
2,3,Gulfport,Landon Green,,243800,1660,1,2019,39503
2,3,Gulfport,Landon Green,,324500,1644,1,2018,39503
3,4,Gulfport,Chapelwood,,292405,2942,1,2020,39503
3,4,Gulfport,Chapelwood,13068,380000,2942,1,2020,39503
3,5,Gulfport,Chapelwood,,302900,3089,,2020,39503
3,5,Gulfport,Chapelwood,,302900,3113,,2020,39503
3,4,Gulfport,Chapelwood,,295000,2997,1,2020,39503
2.5,4,Gulfport,Chapelwood,,265900,2306,1,2020,39503
3,5,Gulfport,Chapelwood,,296475,3127,1,2020,39503
3.5,4,Gulfport,Chapelwood,,297250,2785,1,2020,39503
3,4,Gulfport,Chapelwood,,308925,2942,1,2020,39503
3,5,Gulfport,Chapelwood,,297900,3076,1,2020,39503
2,3,Gulfport,Landon Green,,234170,1746,1,2019,39503
2,3,Gulfport,Landon Green,,251030,1584,1,2020,39503
2,3,Gulfport,Landon Green,,289803,1865,1,2019,39503
2,3,Gulfport,Landon Green,12196,415000,2224,1,2020,39503
2.5,3,Gulfport,Landon Green,,315285,1974,1,2020,39503
2,3,Gulfport,Landon Green,,322445,2214,2,2020,39503
2.5,4,Gulfport,Landon Green,,248940,2050,2,2019,39503
2,3,Gulfport,Landon Green,,236900,1746,1,2019,39503
2,3,Gulfport,Landon Green,,271200,1746,1,2020,39503
2,4,Gulfport,Landon Green,,253150,1702,1,2020,39503
3,3,Gulfport,Landon Green,,319900,2703,2,2018,39503
3,5,Gulfport,Landon Green,,397200,3127,2,2020,39503
2,3,Gulfport,Landon Green,,322725,2339,2,2019,39503
2.5,4,Gulfport,Landon Green,12196,465000,2449,2,2020,39503
2,3,Gulfport,Landon Green,475152480,411030,2200,2,2021,39503
3.5,4,Gulfport,Chapelwood,,282900,2785,1,2020,39503
3,5,Gulfport,Chapelwood,12196,412500,3291,1,2020,39503
2,4,Gulfport,Landon Green,,345000,1957,1,2021,39503
2.5,3,Gulfport,Landon Green,,341550,1860,2,2021,39503
3,4,Gulfport,Chapelwood,,315000,2997,,2020,39503
2,4,Gulfport,Chapelwood,,276900,2091,1,2021,39503
3.5,4,Gulfport,Chapelwood,,279900,2785,1,2020,39503
2.5,4,Gulfport,Chapelwood,,265900,2306,1,2020,39503
2,3,Gulfport,Landon Green,,299990,1580,,2021,39503
2,4,Gulfport,Landon Green,6969,299900,1700,1,2021,39503
2.5,4,Gulfport,Chapelwood,,289900,2306,,2021,39503
2.5,4,Gulfport,Chapelwood,,260900,2306,1,2020,39503
3,4,Gulfport,Chapelwood,10890,394900,2997,1,2020,39503
2.5,3,Gulfport,Landon Green,,276720,2031,2,2020,39503
3.5,4,Gulfport,Chapelwood,,282900,2785,1,2020,39503
3,5,Gulfport,Chapelwood,,375000,3153,1,2020,39503
2,3,Gulfport,Landon Green,,286090,1865,1,2020,39503
3,4,Gulfport,Chapelwood,,267900,2460,1,2020,39503
3,4,Gulfport,Chapelwood,,314900,2997,1,2020,39503
3,4,Gulfport,Chapelwood,,289500,2942,1,2020,39503
3,4,Gulfport,Chapelwood,,293900,2997,,2019,39503
3,4,Gulfport,Chapelwood,,290900,2997,,2019,39503
3,5,Gulfport,Chapelwood,,307900,3076,1,2020,39503
2,3,Gulfport,Landon Green,8712,279900,1576,1,2020,39503
2.5,3,Gulfport,Landon Green,,294405,2031,2,2020,39503
3,5,Gulfport,Chapelwood,,295000,3113,1,2019,39503
2,3,Gulfport,Landon Green,11761,337000,1945,1,2020,39503
2,3,Gulfport,Landon Green,15681,349900,1668,1,2021,39503
2,3,Gulfport,Landon Green,550990440,328870,1875,1,2021,39503
1.5,2,Gulfport,Angela Park,5227,65000,1000,2,2006,39503
2.5,3,Gulfport,Landon Green,584749440,389270,2017,1,2022,39503
2,3,Gulfport,Landon Green,12632,389768,1866,1,2022,39503
3,6,Gulfport,Landon Green,13503,420216,3460,2,2022,39503
2,4,Gulfport,Landon Green,10454,311590,1698,1,2022,39503
3,5,Gulfport,Landon Green,12632,549900,3315,2,2022,39503
2,3,Gulfport,Landon Green,13068,478632,3315,2,2022,39503
2,3,Gulfport,Landon Green,1306,347800,1875,1,2022,39503
2.5,3,Gulfport,Landon Green,19602,481860,3139,2,2022,39503
2,4,Gulfport,Landon Green,13068,431685,2331,1,2022,39503
3,6,Gulfport,Landon Green,12632,489969,3158,2,2022,39503
2,3,Gulfport,Landon Green,12632,310000,1580,1,2021,39503
2,3,Gulfport,Landon Green,7840,247990,1483,1,2023,39503
2,3,Gulfport,Metes And Bounds,,138500,1496,,1990,39503
2,4,Gulfport,Landry Trace,19166,333420,2314,1,2023,39503
3,5,Gulfport,Landry Trace,14810,357315,2720,1,2023,39503
3,5,Gulfport,Landry Trace,11325,385000,2720,1,2023,39503
2,4,Gulfport,Landry Trace,13939,354560,2779,1,2023,39503
2,4,Gulfport,Landry Trace,16552,331960,2314,1,2023,39503
3,5,Gulfport,Landry Trace,15681,359815,2720,1,2023,39503
2,4,Gulfport,Landry Trace,15245,369710,2779,1,2023,39503
2,4,Gulfport,Landry Trace,12196,359630,2779,1,2023,39503
3,5,Gulfport,Landry Trace,13939,352615,2720,1,2023,39503
2,4,Gulfport,Landry Trace,12632,296975,1986,1,2023,39503
3,5,Gulfport,Landry Trace,12632,351860,2720,1,2023,39503
2,4,Gulfport,Landry Trace,12196,353570,2779,1,2023,39503
3,5,Gulfport,Landry Trace,11325,356335,2720,1,2023,39503
3,5,Gulfport,Landon Green,2613,375990,2527,2,2023,39503
3,5,Gulfport,Landry Trace,14810,363375,2720,1,2024,39503
2,4,Gulfport,Landry Trace,16552,329425,2314,1,2024,39503
2,4,Gulfport,Landon Green,11761,336990,2114,1,2024,39503
2,3,Gulfport,Landon Green,7840,304600,1554,1,2022,39503
2,4,Gulfport,Landry Trace,16552,318280,2204,1,2024,39503
2,3,Gulfport,Landry Trace,9583,287590,1740,1,2024,39503
3,5,Gulfport,Landry Trace,10890,349570,2720,1,2024,39503
2,3,Gulfport,Southern Breeze,8276,252040,1740,1,2024,39503
2,4,Gulfport,Southern Breeze,8712,258295,1885,1,2024,39503
2,3,Gulfport,Southern Breeze,8712,254475,1848,1,2024,39503
2,3,Gulfport,Southern Breeze,8276,216075,1375,1,2024,39503
2,4,Gulfport,Landry Trace,12632,313020,2204,1,2024,39503
2,3,Gulfport,Southern Breeze,8712,240990,1710,1,2024,39503
2,4,Gulfport,Landry Trace,11761,313270,2204,1,2024,39503
2.5,3,Gulfport,Gulfport,1306,224900,1553,2,2024,39503
2,3,Gulfport,Southern Breeze,8276,243360,1710,1,2024,39503
2,4,Gulfport,Landry Trace,16117,360070,2779,1,2024,39503
2,3,Gulfport,Southern Breeze,7405,216470,1375,1,2024,39503
2,3,Gulfport,Southern Breeze,8276,215560,1375,1,2024,39503
2,4,Gulfport,Landry Trace,17424,358525,2779,1,2024,39503
2,4,Gulfport,Landry Trace,13068,361045,2779,1,2024,39503
2,3,Gulfport,Landon Green,13068,405660,2309,2,2022,39503
2,3,Gulfport,Southern Breeze,13939,250610,1885,1,2023,39503
2,3,Gulfport,Southern Breeze,9147,233610,1642,1,2023,39503
2,3,Gulfport,Southern Breeze,9147,248995,1848,1,2023,39503
2,3,Gulfport,Southern Breeze,10890,210215,1452,1,2023,39503
2,3,Gulfport,Southern Breeze,8276,255230,1848,1,2023,39503
1.5,3,Gulfport,Bel-Aire,,89000,1024,,1972,39503
,,Gulfport,,6375,5547,832,,2005,39501
2.5,3,Gulfport,Landon Green,,349850,2000,,2021,39503
,,Gulfport,North Gulfport,13503,15000,,,,39501
,,Gulfport,North Gulfport,,3000,,,,39501
,,Gulfport,Biloxi River Ests.,5227,9200,,,,39503
,,Gulfport,Metes And Bounds,204732,149000,,,,39503
,,Gulfport,Angela Park,,19000,,,,39503
2,3,Gulfport,Belvedere Place,6098,219999,1536,1,2015,39503
2,3,Gulfport,Belvedere Place,6969,240000,1694,1,2014,39503
2,3,Gulfport,Belvedere Place,11325,240000,1710,1,2014,39503
3,4,Gulfport,South Fork,69696,349000,2700,1,2003,39503
2,3,Gulfport,Belvedere Place,6098,239900,1560,1,2014,39503
2,3,Gulfport,Belvedere Place,6969,239000,1637,1,2011,39503
2,3,Gulfport,Belvedere Place,6534,220000,1452,1,2020,39503
2.5,4,Gulfport,Belvedere Place,8276,240000,1881,2,2014,39503
2,3,Gulfport,Belvedere Place,6098,219000,1449,1,2011,39503
1.5,3,Gulfport,Metes And Bounds,43560,100000,1200,1,1975,39503
2,3,Gulfport,Belvedere Place,8276,220000,1558,1,2015,39503
2,3,Gulfport,Belvedere Place,7405,245000,1665,1,2014,39503
2,3,Gulfport,Belvedere Place,7405,237900,1742,1,2013,39503
2,3,Gulfport,Belvedere Place,8712,247500,1714,1,2010,39503
2,3,Gulfport,Belvedere Place,7405,238400,1665,1,2012,39503
2,3,Gulfport,Belvedere Place,5662,239500,1738,1,2012,39503
2,3,Gulfport,Belvedere Place,6098,219000,1728,1,2010,39503
2.5,4,Gulfport,Belvedere Place,5662,245000,1881,2,2013,39503
2,3,Gulfport,Belvedere Place,6969,224900,1654,1,2009,39503
2,3,Gulfport,Belvedere Place,7405,234900,1665,1,2015,39503
2,3,Gulfport,Belvedere Place,6969,265000,2060,1,2015,39503
1,3,Gulfport,Metes And Bounds,13939,155000,1400,1,1940,39503
2,4,Gulfport,Savoy Place,12196,315000,2326,1,2018,39503
2,4,Gulfport,Savoy Place,9583,271900,1971,1,2019,39503
2,3,Gulfport,Belvedere Place,7405,216600,1442,1,2018,39503
2,3,Gulfport,Belvedere Place,6969,234900,1624,1,2018,39503
2,3,Gulfport,Belvedere Place,7405,249000,1710,1,2018,39503
2,3,Gulfport,Belvedere Place,7405,259000,1710,1,2019,39503
2,3,Gulfport,Belvedere Place,6969,225000,1452,1,2019,39503
2,3,Gulfport,Belvedere Place,7405,239900,1642,1,2020,39503
2,3,Gulfport,Savoy Place,11761,269700,1936,1,2021,39503
2,3,Gulfport,Savoy Place,11761,279900,1936,1,2021,39503
2,3,Gulfport,Savoy Place,12632,272000,1936,1,2020,39503
2,3,Gulfport,Savoy Place,12632,289900,1936,1,2020,39503
2,3,Gulfport,Belvedere Place,6969,253000,1685,1,2020,39503
2,3,Gulfport,Belvedere Place,8276,265900,1624,1,2020,39503
2,3,Gulfport,Belvedere Place,7405,223500,1452,1,2020,39503
2,3,Gulfport,Belvedere Place,6969,253000,1710,1,2020,39503
2,3,Gulfport,Belvedere Place,,239900,1685,1,2020,39503
2,3,Gulfport,Belvedere Place,10890,221000,1452,1,2020,39503
2,3,Gulfport,Belvedere Place,7405,239900,1693,1,2021,39503
2,3,Gulfport,Belvedere Place,7405,241915,1624,1,2022,39503
2,4,Gulfport,Savoy Place,10018,304925,2120,1,2022,39503
2,4,Gulfport,High Point,13068,272985,1885,1,2022,39503
2,3,Gulfport,High Point,15245,285985,1925,1,2022,39503
2,4,Gulfport,High Point,14810,320105,2204,1,2022,39503
2,3,Gulfport,Savoy Place,8712,275495,1848,1,2022,39503
2,4,Gulfport,Savoy Place,10018,281275,1885,1,2022,39503
2,4,Gulfport,Savoy Place,9147,307140,2120,1,2022,39503
2,4,Gulfport,High Point,15245,310225,2314,1,2022,39503
2,3,Gulfport,Belvedere Place,7405,254055,1710,1,2022,39503
2.5,4,Gulfport,Savoy Place,9147,278130,1851,1,2022,39503
2,3,Gulfport,Belvedere Place,8276,257780,1710,1,2022,39503
2,4,Gulfport,Savoy Place,10018,308080,2204,1,2023,39503
2,3,Gulfport,Savoy Place,9583,285375,1925,1,2023,39503
2,4,Gulfport,Belvedere Place,7405,262035,1906,1,2023,39503
2,3,Gulfport,Savoy Place,8712,275455,1848,1,2023,39503
2,4,Gulfport,Savoy Place,9583,288355,1961,1,2023,39503
2,3,Gulfport,Belvedere Place,7405,242235,1624,1,2023,39503
2.5,4,Gulfport,Savoy Place,9583,276650,1851,1,2023,39503
3,4,Gulfport,Savoy Place,7840,296760,2092,1,2023,39503
2,3,Gulfport,Belvedere Place,7405,233470,1517,1,2023,39503
2,3,Gulfport,Savoy Place,9147,284770,1925,1,2023,39503
2,4,Gulfport,Savoy Place,9147,307755,2204,1,2023,39503
2,4,Gulfport,Belvedere Place,7405,262060,1906,1,2023,39503
2,4,Gulfport,Savoy Place,10018,308035,2204,1,2023,39503
2,3,Gulfport,Savoy Place,9147,275830,1848,1,2023,39503
2,3,Gulfport,Savoy Place,8712,277770,1848,1,2023,39503
2,3,Gulfport,Savoy Place,8276,284335,1925,1,2023,39503
3,4,Gulfport,Savoy Place,8276,293985,2092,1,2023,39503
2,3,Gulfport,Savoy Place,8712,275830,1848,1,2023,39503
3,4,Gulfport,Savoy Place,8712,296820,2092,1,2023,39503
2,4,Gulfport,High Point,10454,286045,2204,1,2023,39503
2,3,Gulfport,High Point,10454,257620,1740,1,2023,39503
2,4,Gulfport,High Point,10454,287090,2204,1,2023,39503
2,4,Gulfport,High Point,10890,263550,1885,1,2023,39503
2,4,Gulfport,High Point,12196,301860,2314,1,2023,39503
2,3,Gulfport,High Point,10454,252825,1710,1,2023,39503
2,4,Gulfport,High Point,8712,286530,2204,1,2023,39503
2,4,Gulfport,High Point,9147,284010,2120,1,2024,39503
2,3,Gulfport,High Point,10018,266845,1925,1,2024,39503
2,3,Gulfport,Belvedere Place,7405,250535,1642,1,2022,39503
2,3,Gulfport,High Point,10018,255530,1710,1,2024,39503
2,3,Gulfport,High Point,10018,260605,1740,1,2024,39503
2,3,Gulfport,High Point,8276,240345,1517,1,2024,39503
2,3,Gulfport,Gulfport,6969,239925,1642,1,2024,39503
2,3,Gulfport,High Point,9147,263500,1740,1,2024,39503
2,4,Gulfport,High Point,13503,309365,2314,1,2024,39503
