baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
2,3,Gulfport,Tarabrooke,,159900,1280,1,2006,39503
1.5,3,Gulfport,Kerns,,97500,1080,1,1970,39503
2,3,Gulfport,Northwood Hills,,167000,1443,1,1998,39503
2,3,Gulfport,Fox Run,8276,131500,1271,1,1985,39503
2,3,Gulfport,Legacy Villas,,233500,1771,2,2001,39507
2,3,Gulfport,Hidden Oaks,,135000,1296,1,2006,39503
2,3,Gulfport,Briarwood,,159900,1622,1,1972,39503
3.5,4,Gulfport,Canal Place,,415000,2910,2,1988,39507
2,3,Gulfport,Country Hills,,129900,1303,1,1996,39503
1,3,Gulfport,Metes And Bounds,,117000,1360,,1960,39501
30,34,Gulfport,Metes And Bounds,23958,1200000,18120,,1971,39507
2,3,Gulfport,Windance,,324999,2460,1,2012,39503
2,4,Gulfport,Loren D Heights,15245,135000,1800,1,1975,39503
3,5,Gulfport,Windance,11761,359800,3912,2,2002,39503
2,3,Gulfport,Country Hills,,110000,1072,1,1995,39503
1.5,3,Gulfport,Bel-Aire,10018,72500,1000,1,1972,39503
1.5,2,Gulfport,Racquet Club,,110000,1148,2,1973,39507
2,3,Gulfport,Bayou View,35283,159900,1779,1,1958,39507
2,4,Gulfport,Bayou View,24829,179990,1945,1,1954,39507
,,Gulfport,Kennelworth Park,,75000,2044,,2009,39501
2,3,Gulfport,Metes And Bounds,34848,140500,1686,1,1960,39503
2,3,Gulfport,Forest North,,120000,1230,2,2001,39503
1.5,3,Gulfport,Oakleigh Manor,12196,75000,1341,1,1968,39503
2,4,Gulfport,Tarabrooke,,164900,1854,2,2007,39503
2,3,Gulfport,Broad Acres,7840,85000,1335,1,1940,39501
2,3,Gulfport,Stetson Place,12632,207900,1425,1,2003,39503
3,5,Gulfport,Metes And Bounds,,440000,3545,3,2006,39503
2,3,Gulfport,Mays Place Estates,10018,155000,1614,1,2007,39503
,,Gulfport,Beach Grove,,153500,1120,,1960,39501
1,3,Gulfport,Arlington Heights,5662,47900,1113,1,1963,39501
2.5,4,Gulfport,Wind Rose,,299900,2869,2,2006,39503
2,4,Gulfport,Harmony,,174900,1815,1,2007,39503
2,3,Gulfport,Metes And Bounds,49658,129900,1400,1,1995,39503
2,2,Gulfport,Sienna On The Coast Condo,,264900,1248,,2007,39507
2,3,Gulfport,Azalea Trace,,169000,1461,1,2008,39503
2,3,Gulfport,Southern Oaks,,205000,2007,1,1997,39507
1.5,3,Gulfport,Metes And Bounds,,65000,1450,,1969,39503
2,2,Gulfport,Legacy II Condominiums,,284500,1298,,2006,39507
2,3,Gulfport,Cowan Road Homes,6534,189000,1365,1,2009,39507
1,3,Gulfport,Metes And Bounds,13068,79900,960,,1955,39503
2,3,Gulfport,Clinton Cove,,160000,1416,,1988,39507
2,3,Gulfport,Williamsburg,,135000,1251,1,1999,39503
3,3,Gulfport,Northwood Hills,1393920,145000,1800,,1965,39503
2,4,Gulfport,Windance West,11325,206900,2278,1,2011,39503
2,3,Gulfport,Day Baker Division - Gulfport,,149999,1402,1,1975,39501
2,3,Gulfport,Fairfield,,129900,1260,1,2001,39503
2.5,3,Gulfport,Wildwood,,149900,2045,,1983,39503
2,3,Gulfport,Bayou View,,145000,1324,1,1965,39507
1,2,Gulfport,Manhatten,,24000,624,,1942,39501
5,6,Gulfport,Bayou View,,365000,4758,2,1954,39507
1.5,3,Gulfport,Brentwood,369432360,119900,1288,1,1978,39503
,,Gulfport,,8108,,1075,,1970,39503
1,3,Gulfport,Bayou View,,80000,1053,,1955,39507
2,3,Gulfport,Country Hills,,129900,1282,,,39503
2.5,4,Gulfport,Swan Lake Estates,,234500,1933,,2004,39503
2,3,Gulfport,Northwood Hills,,174900,1535,,2001,39503
2,3,Gulfport,Forest North,6534,139900,1182,1,2002,39503
2,3,Gulfport,Fernwood Heights,,139900,1356,1,1962,39507
2,2,Gulfport,Tropical Cove,,75000,1152,1,2007,39507
2,3,Gulfport,Turtle Creek,,146900,1260,,2012,39503
2,3,Gulfport,Turtle Creek,,154500,1422,1,2015,39503
2,4,Gulfport,Meadowbrook,12196,185000,1967,1,2002,39503
3,4,Gulfport,Allendale,7405,72000,1980,1,1943,39501
2,3,Gulfport,Country Hills,,127250,1256,,2000,39503
2,3,Gulfport,Original Gulfport,7840,134840,2416,2,1940,39501
2,3,Gulfport,Huntington,,149000,1328,,2004,39503
2,3,Gulfport,Roxbury Place,,175000,1668,1,2001,39503
4,4,Gulfport,Bayou View,24528,339900,4200,1,1955,39507
3,3,Gulfport,Bayou View,25264,180000,2700,1,1954,39507
2,4,Gulfport,Harmony,7405,149900,1815,1,2006,39503
1,2,Gulfport,Gulf Shore Manor,6534,140000,1159,1,1943,39507
2.5,4,Gulfport,Walker Farm,,260000,2545,,2014,39503
1,3,Gulfport,Forest Heights,,30000,1240,1,1970,39501
2,3,Gulfport,Wildwood,,169000,2313,1,1975,39503
1.5,3,Gulfport,Norwood,,148900,1980,,1970,39503
2,2,Gulfport,Legacy II Condominiums,,259900,1164,,2006,39507
1,3,Gulfport,Crestview,,60000,960,,1960,39503
2,4,Gulfport,Cowan Road Homes,,175500,2800,1,1959,39507
3.5,5,Gulfport,Great South Golf,12632,189000,2725,,1984,39507
1,3,Gulfport,Crestview,,50000,960,1,1958,39503
5.5,3,Gulfport,Colonial Estates,10454,127000,1501,1,2003,39503
2,3,Gulfport,Westwood Hills,,139900,1354,,2001,39503
